impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
boomphf-rust,build,512,1.150000,1,0,0.032480,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,1,0.017630,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,2,0.016480,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,3,0.021130,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,4,0.016550,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,5,0.022690,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,6,0.017510,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,0,0.035900,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,1,0.023950,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,2,0.017790,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,3,0.016889,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,4,0.016651,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,0,1.799279,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,1,1.784999,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,2,1.740289,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,3,1.910959,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,4,1.978030,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,5,1.767589,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,6,1.748739,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,512,1.150000,1,0,0.039360,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,512,1.150000,1,1,0.026270,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,512,1.150000,1,2,0.021800,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,512,1.150000,1,3,0.020940,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,lookup,512,1.150000,1,4,0.020890,4870315401550313391,11131921045574106320,0,multiplicative,na
better-mphf,build,512,1.150000,1,0,0.020100,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,1,0.022730,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,2,0.019230,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,3,0.018310,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,4,0.018560,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,5,0.022740,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,6,0.018850,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,512,1.150000,1,0,0.026060,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,512,1.150000,1,1,0.023940,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,512,1.150000,1,2,0.015040,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,512,1.150000,1,3,0.014300,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,lookup,512,1.150000,1,4,0.014260,4870315401550313391,11131921045574106320,0,multiplicative,low32
better-mphf,build,512,1.150000,1,0,0.015700,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,1,0.018920,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,2,0.014420,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,3,0.014400,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,4,0.014450,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,5,0.018100,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,6,0.014440,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,512,1.150000,1,0,0.026420,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,512,1.150000,1,1,0.025210,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,512,1.150000,1,2,0.015940,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,512,1.150000,1,3,0.015030,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,lookup,512,1.150000,1,4,0.014980,4870315401550313391,11131921045574106320,0,multiplicative,high32
better-mphf,build,512,1.150000,1,0,0.014869,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,1,0.017200,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,2,0.013160,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,3,0.013120,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,4,0.013180,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,5,0.017200,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,build,512,1.150000,1,6,0.024740,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,0,0.025780,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,1,0.024490,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,2,0.015300,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,3,0.014340,4870315401550313391,11131921045574106320,0,multiplicative,mul64
better-mphf,lookup,512,1.150000,1,4,0.014210,4870315401550313391,11131921045574106320,0,multiplicative,mul64
boomphf-rust,build,1024,1.150000,1,0,0.045520,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,1,0.036770,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,2,0.035250,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,1024,1.150000,1,3,0.040080,4870315401550313391,11131921045574106320,0,multiplicative,na
