impl,phase,n,gamma,threads,trial,ms,seed,offset,seed_index,key_mode,fastrange_mode
boomphf-rust,build,512,1.150000,1,0,0.012700,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,1,0.007780,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,2,0.006720,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,3,0.008451,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,4,0.006609,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,5,0.009131,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,build,512,1.150000,1,6,0.006980,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,0,0.014480,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,1,0.009611,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,2,0.007140,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,3,0.006720,4870315401550313391,11131921045574106320,0,multiplicative,na
boomphf-rust,lookup,512,1.150000,1,4,0.006660,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,0,1.149030,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,1,1.125280,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,2,1.074760,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,3,1.096409,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,4,1.116420,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,5,1.074760,4870315401550313391,11131921045574106320,0,multiplicative,na
bbhash-cpp,build,512,1.150000,1,6,1.073360,4870315401550313391,11131921045574106320,0,multiplicative,na
